Date,Mean daily
2019-10-01,827.0
2019-10-02,830.0
2019-10-03,833.0
2019-10-04,837.0
2019-10-05,840.0
2019-10-06,844.2
2019-10-07,849.0
2019-10-08,852.0
2019-10-09,856.0
2019-10-10,861.0
2019-10-11,867.0
2019-10-12,872.0
2019-10-13,876.0
2019-10-14,880.0
2019-10-15,884.0
2019-10-16,887.0
2019-10-17,890.0
2019-10-18,894.0
2019-10-19,898.0
2019-10-20,902.0
2019-10-21,907.0
2019-10-22,912.0
2019-10-23,919.0
2019-10-24,926.0
2019-10-25,933.0
2019-10-26,938.0
2019-10-27,944.0
2019-10-28,952.0
2019-10-29,959.0
2019-10-30,968.0
2019-10-31,977.0
2019-11-01,984.0
2019-11-02,996.0
2019-11-03,1009.0
2019-11-04,1032.0
2019-11-05,1056.0
2019-11-06,1076.0
2019-11-07,1108.0
2019-11-08,1139.0
2019-11-09,1168.0
2019-11-10,1196.0
2019-11-11,1223.0
2019-11-12,1244.6
2019-11-13,1269.0
2019-11-14,1293.0
2019-11-15,1316.9
2019-11-16,1344.4
2019-11-17,1366.0
2019-11-18,1382.8
2019-11-19,1398.0
2019-11-20,1414.6
2019-11-21,1440.0
2019-11-22,1459.0
2019-11-23,1474.0
2019-11-24,1481.0
2019-11-25,1497.6
2019-11-26,1514.0
2019-11-27,1542.0
2019-11-28,1587.5
2019-11-29,1628.0
2019-11-30,1653.0
2019-12-01,1672.0
2019-12-02,1686.0
2019-12-03,1709.0
2019-12-04,1730.0
2019-12-05,1744.0
2019-12-06,1772.0
2019-12-07,1801.2
2019-12-08,1851.5
2019-12-09,1903.0
2019-12-10,1947.5
2019-12-11,2010.0
2019-12-12,2057.0
2019-12-13,2109.0
2019-12-14,2165.0
2019-12-15,2233.0
2019-12-16,2302.0
2019-12-17,2346.4
2019-12-18,2396.1
2019-12-19,2442.0
2019-12-20,2493.0
2019-12-21,2553.0
2019-12-22,2630.0
2019-12-23,2717.2
2019-12-24,2794.0
2019-12-25,2899.0
2019-12-26,3022.3
2019-12-27,3175.0
2019-12-28,3365.0
2019-12-29,3611.3
2019-12-30,3834.8
2019-12-31,4130.0
2020-01-01,4130.0
2020-01-02,4130.0
2020-01-03,5048.3
2020-01-04,6082.2
2020-01-05,8105.0
2020-01-06,11510.3
2020-01-07,23883.6
2020-01-08,61092.5
2020-01-09,24193.7
2020-01-10,12146.2
2020-01-11,8851.7
2020-01-12,6825.4
2020-01-13,5710.9
2020-01-14,5140.8
2020-01-15,4242.7
2020-01-16,4130.0
2020-01-17,4130.0
2020-01-18,4130.0
2020-01-19,4130.0
2020-01-20,4130.0
2020-01-21,4130.0
2020-01-22,4130.0
2020-01-23,4130.0
2020-01-24,4130.0
2020-01-25,4130.0
2020-01-26,4130.0
2020-01-27,4130.0
2020-01-28,4130.0
2020-01-29,4130.0
2020-01-30,4130.0
2020-01-31,4130.0
2020-02-01,4372.5
2020-02-02,4525.5
2020-02-03,4681.8
2020-02-04,4790.4
2020-02-05,4893.6
2020-02-06,4957.9
2020-02-07,5083.0
2020-02-08,5172.0
2020-02-09,5265.6
2020-02-10,5386.8
2020-02-11,5613.7
2020-02-12,5981.5
2020-02-13,6655.0
2020-02-14,7736.0
2020-02-15,9552.3
2020-02-16,12593.3
2020-02-17,21552.0
2020-02-18,30032.6
2020-02-19,21587.9
2020-02-20,12646.7
2020-02-21,9632.8
2020-02-22,7888.6
2020-02-23,6776.5
2020-02-24,6091.0
2020-02-25,5718.2
2020-02-26,5521.9
2020-02-27,5373.4
2020-02-28,5309.0
2020-02-29,5248.0
2020-03-01,5205.2
2020-03-02,5159.0
2020-03-03,5105.7
2020-03-04,5040.6
2020-03-05,4943.9
2020-03-06,4885.3
2020-03-07,4786.2
2020-03-08,4681.2
2020-03-09,4525.7
2020-03-10,4380.8
2020-03-11,4130.0
2020-03-12,4130.0
2020-03-13,4130.0
2020-03-14,4130.0
2020-03-15,4130.0
2020-03-16,4726.0
2020-03-17,5292.8
2020-03-18,6031.4
2020-03-19,7644.9
2020-03-20,10328.9
2020-03-21,12203.5
2020-03-22,10251.5
2020-03-23,7401.2
2020-03-24,5630.8
2020-03-25,4474.6
2020-03-26,4130.0
2020-03-27,4130.0
2020-03-28,4130.0
2020-03-29,4130.0
2020-03-30,4130.0
2020-03-31,4130.0
2020-04-01,4101.2
2020-04-02,4016.0
2020-04-03,3943.8
2020-04-04,3866.0
2020-04-05,3780.0
2020-04-06,3721.9
2020-04-07,3656.0
2020-04-08,3610.0
2020-04-09,3525.7
2020-04-10,3431.0
2020-04-11,3347.1
2020-04-12,3263.3
2020-04-13,3184.0
2020-04-14,3106.7
2020-04-15,3014.6
2020-04-16,2940.5
2020-04-17,2865.0
2020-04-18,2785.0
2020-04-19,2728.0
2020-04-20,2657.3
2020-04-21,2588.0
2020-04-22,2530.8
2020-04-23,2490.3
2020-04-24,2454.0
2020-04-25,2427.2
2020-04-26,2407.0
2020-04-27,2394.0
2020-04-28,2385.0
2020-04-29,2385.0
2020-04-30,2394.0
2020-05-01,2408.7
2020-05-02,2444.0
2020-05-03,2494.9
2020-05-04,2572.2
2020-05-05,2701.6
2020-05-06,2845.3
2020-05-07,3039.3
2020-05-08,3264.5
2020-05-09,3536.5
2020-05-10,3758.0
2020-05-11,4069.0
2020-05-12,4130.0
2020-05-13,4130.0
2020-05-14,4130.0
2020-05-15,4130.0
2020-05-16,5028.4
2020-05-17,5448.4
2020-05-18,5771.1
2020-05-19,6059.8
2020-05-20,6172.1
2020-05-21,6058.0
2020-05-22,5752.3
2020-05-23,5365.0
2020-05-24,4809.2
2020-05-25,4130.0
2020-05-26,4130.0
2020-05-27,4130.0
2020-05-28,3884.2
2020-05-29,3441.0
2020-05-30,2964.0
2020-05-31,2544.0
2020-06-01,2279.0
2020-06-02,1986.9
2020-06-03,1766.0
2020-06-04,1676.0
2020-06-05,1547.0
2020-06-06,1475.6
2020-06-07,1407.0
2020-06-08,1347.0
2020-06-09,1269.0
2020-06-10,1200.0
2020-06-11,1124.0
2020-06-12,1059.0
2020-06-13,1008.2
2020-06-14,983.0
2020-06-15,969.0
2020-06-16,954.0
2020-06-17,944.0
2020-06-18,936.0
2020-06-19,927.0
2020-06-20,917.0
2020-06-21,910.0
2020-06-22,904.0
2020-06-23,899.5
2020-06-24,895.0
2020-06-25,890.3
2020-06-26,887.0
2020-06-27,884.0
2020-06-28,881.0
2020-06-29,876.7
2020-06-30,872.0
2020-07-01,867.0
2020-07-02,861.0
2020-07-03,856.0
2020-07-04,852.0
2020-07-05,849.0
2020-07-06,844.4
2020-07-07,840.0
2020-07-08,837.0
2020-07-09,833.0
2020-07-10,830.0
2020-07-11,827.0
2020-07-12,822.0
2020-07-13,817.0
2020-07-14,809.0
2020-07-15,802.0
2020-07-16,795.0
2020-07-17,790.0
2020-07-18,787.0
2020-07-19,780.1
2020-07-20,769.0
2020-07-21,763.0
2020-07-22,758.0
2020-07-23,751.0
2020-07-24,747.4
2020-07-25,742.0
2020-07-26,739.0
2020-07-27,736.0
2020-07-28,736.0
2020-07-29,734.0
2020-07-30,732.0
2020-07-31,730.0
2020-08-01,730.0
2020-08-02,730.0
2020-08-03,730.0
2020-08-04,730.0
2020-08-05,730.0
2020-08-06,730.0
2020-08-07,730.0
2020-08-08,730.0
2020-08-09,730.0
2020-08-10,730.0
2020-08-11,730.0
2020-08-12,730.0
2020-08-13,730.0
2020-08-14,730.0
2020-08-15,730.0
2020-08-16,730.0
2020-08-17,730.0
2020-08-18,730.0
2020-08-19,730.0
2020-08-20,730.0
2020-08-21,730.0
2020-08-22,730.0
2020-08-23,730.0
2020-08-24,730.0
2020-08-25,730.0
2020-08-26,730.0
2020-08-27,730.0
2020-08-28,730.0
2020-08-29,730.0
2020-08-30,730.0
2020-08-31,730.0
2020-09-01,730.0
2020-09-02,730.0
2020-09-03,730.0
2020-09-04,730.0
2020-09-05,730.0
2020-09-06,730.0
2020-09-07,730.0
2020-09-08,730.0
2020-09-09,730.0
2020-09-10,730.0
2020-09-11,730.0
2020-09-12,732.0
2020-09-13,734.0
2020-09-14,736.0
2020-09-15,736.0
2020-09-16,739.0
2020-09-17,742.0
2020-09-18,747.4
2020-09-19,751.0
2020-09-20,758.0
2020-09-21,763.0
2020-09-22,769.0
2020-09-23,780.1
2020-09-24,787.0
2020-09-25,790.0
2020-09-26,795.0
2020-09-27,802.0
2020-09-28,809.0
2020-09-29,817.0
2020-09-30,822.0
